Date,Open,High,Low,Close
12/31/2009,"2,964.96","2,964.96","2,964.96","2,964.96"
12/30/2009,"2,986.96","2,993.81","2,964.87","2,966.24"
12/29/2009,"2,989.89","3,001.56","2,985.14","2,992.08"
12/28/2009,"2,975.59","2,984.45","2,970.01","2,982.42"
12/24/2009,"2,957.03","2,957.03","2,957.03","2,957.03"
12/23/2009,"2,961.77","2,969.13","2,946.25","2,957.48"
12/22/2009,"2,931.27","2,961.85","2,927.87","2,945.71"
12/21/2009,"2,883.85","2,926.05","2,875.79","2,926.05"
12/18/2009,"2,891.90","2,921.25","2,869.38","2,871.22"
12/17/2009,"2,906.53","2,916.08","2,882.82","2,891.66"
12/16/2009,"2,891.82","2,926.52","2,890.30","2,926.52"
12/15/2009,"2,887.40","2,893.14","2,855.63","2,888.58"
12/14/2009,"2,886.46","2,897.23","2,871.62","2,885.00"
12/11/2009,"2,855.72","2,884.67","2,853.93","2,862.32"
12/10/2009,"2,816.68","2,857.39","2,811.02","2,851.29"
12/09/2009,"2,840.49","2,858.26","2,802.39","2,818.10"
12/08/2009,"2,887.81","2,906.77","2,834.89","2,849.17"
12/07/2009,"2,899.89","2,907.82","2,876.59","2,896.23"
12/04/2009,"2,866.07","2,930.01","2,854.46","2,910.33"
12/03/2009,"2,891.56","2,911.13","2,869.35","2,876.14"
12/02/2009,"2,869.05","2,893.94","2,860.69","2,877.94"
12/01/2009,"2,820.99","2,871.75","2,817.16","2,871.75"
11/30/2009,"2,837.55","2,843.33","2,791.78","2,797.25"
11/27/2009,"2,769.42","2,849.42","2,757.02","2,831.14"
11/25/2009,"2,897.45","2,910.22","2,875.59","2,896.90"
11/24/2009,"2,877.39","2,901.87","2,868.24","2,877.58"
11/23/2009,"2,854.92","2,906.56","2,848.09","2,898.19"
11/20/2009,"2,870.24","2,880.26","2,824.88","2,833.06"
11/19/2009,"2,905.37","2,908.43","2,853.55","2,860.29"
11/18/2009,"2,918.39","2,933.96","2,900.81","2,908.53"
11/17/2009,"2,915.89","2,923.54","2,900.33","2,906.92"
11/16/2009,"2,904.11","2,930.82","2,895.49","2,926.15"
11/13/2009,"2,871.70","2,886.21","2,851.10","2,883.04"
11/12/2009,"2,871.53","2,904.88","2,860.81","2,876.92"
11/11/2009,"2,876.94","2,902.50","2,873.00","2,881.01"
11/10/2009,"2,862.70","2,873.31","2,849.62","2,856.44"
11/09/2009,"2,816.48","2,860.31","2,810.60","2,860.11"
11/06/2009,"2,788.69","2,807.08","2,754.06","2,794.25"
11/05/2009,"2,737.93","2,808.69","2,719.22","2,793.44"
11/04/2009,"2,732.64","2,773.30","2,728.84","2,763.29"
11/03/2009,"2,737.31","2,741.48","2,693.80","2,712.30"
11/02/2009,"2,735.63","2,783.01","2,728.11","2,762.95"
10/30/2009,"2,826.01","2,833.86","2,737.24","2,743.50"
10/29/2009,"2,771.35","2,827.42","2,759.47","2,824.78"
10/28/2009,"2,827.45","2,829.77","2,776.94","2,778.46"
10/27/2009,"2,836.06","2,854.72","2,815.66","2,835.17"
10/26/2009,"2,895.76","2,907.02","2,826.95","2,834.82"
10/23/2009,"2,917.07","2,944.78","2,883.59","2,886.08"
10/22/2009,"2,912.73","2,918.13","2,878.83","2,902.19"
10/21/2009,"2,937.25","2,949.42","2,885.13","2,936.83"
10/20/2009,"2,952.37","2,962.06","2,922.14","2,925.08"
10/19/2009,"2,907.40","2,948.27","2,900.37","2,947.41"
10/16/2009,"2,945.96","2,960.61","2,885.40","2,893.53"
10/15/2009,"2,956.23","2,960.13","2,926.23","2,939.09"
10/14/2009,"2,909.81","2,952.29","2,900.68","2,950.82"
10/13/2009,"2,907.70","2,913.65","2,869.65","2,879.06"
10/12/2009,"2,892.31","2,929.62","2,888.41","2,914.35"
10/09/2009,"2,875.57","2,903.04","2,866.25","2,882.18"
10/08/2009,"2,877.51","2,897.74","2,867.90","2,887.61"
10/07/2009,"2,860.00","2,877.22","2,847.23","2,852.17"
10/06/2009,"2,799.99","2,866.04","2,798.60","2,865.70"
10/05/2009,"2,763.74","2,791.59","2,746.85","2,790.78"
10/02/2009,"2,788.58","2,798.93","2,743.79","2,760.60"
10/01/2009,"2,876.82","2,892.97","2,810.15","2,810.46"
09/30/2009,"2,898.19","2,909.53","2,846.96","2,872.63"
09/29/2009,"2,902.87","2,915.71","2,880.24","2,892.44"
09/28/2009,"2,828.41","2,899.12","2,807.10","2,899.12"
09/25/2009,"2,839.69","2,847.61","2,819.29","2,831.95"
09/24/2009,"2,878.33","2,906.16","2,832.65","2,838.22"
09/23/2009,"2,881.11","2,901.29","2,874.57","2,887.24"
09/22/2009,"2,883.56","2,907.06","2,875.88","2,881.60"
09/21/2009,"2,884.97","2,885.10","2,849.94","2,872.51"
09/18/2009,"2,882.00","2,913.69","2,879.65","2,887.24"
09/17/2009,"2,900.29","2,903.99","2,875.70","2,895.45"
