Date,Open,High,Low,Close,,,,,,,Date SP,Date EUR,,,,
31.12.2009,"1.115,10","1.126,60","1.127,64","1.114,81",,,,,,,31.12.2009,12/31/2009,,,,
30.12.2009,"1.126,42","1.125,53","1.126,42","1.121,94",,,,,,,30.12.2009,12/30/2009,,,,
29.12.2009,"1.126,20","1.128,55","1.130,38","1.126,08",,,,,,,29.12.2009,12/29/2009,,,,
28.12.2009,"1.127,78","1.127,53","1.130,38","1.123,51",,,,,,,28.12.2009,12/28/2009,,,,
24.12.2009,"1.126,48","1.121,08","1.126,48","1.121,08",,,,,,,24.12.2009,12/24/2009,,,,
23.12.2009,"1.120,59","1.118,84","1.121,58","1.116,00",,,,,,,23.12.2009,12/23/2009,,,,
22.12.2009,"1.118,02","1.114,51","1.120,27","1.114,51",,,,,,,22.12.2009,12/22/2009,,,,
21.12.2009,"1.114,05","1.105,31","1.117,68","1.105,31",,,,,,,21.12.2009,12/21/2009,,,,
18.12.2009,"1.102,47","1.097,86","1.103,74","1.093,88",,,,,,,18.12.2009,12/18/2009,,,,
17.12.2009,"1.096,08","1.106,36","1.106,36","1.095,88",,,,,,,17.12.2009,12/17/2009,,,,
16.12.2009,"1.109,18","1.108,61","1.116,21","1.107,96",,,,,,,16.12.2009,12/16/2009,,,,
15.12.2009,"1.107,93","1.114,11","1.114,11","1.105,35",,,,,,,15.12.2009,12/15/2009,,,,
14.12.2009,"1.114,11","1.107,84","1.114,76","1.107,84",,,,,,,14.12.2009,12/14/2009,,,,
11.12.2009,"1.106,41","1.103,96","1.108,50","1.101,34",,,,,,,11.12.2009,12/11/2009,,,,
10.12.2009,"1.102,35","1.098,69","1.106,25","1.098,69",,,,,,,10.12.2009,12/10/2009,,,,
09.12.2009,"1.095,95","1.091,07","1.097,04","1.085,89",,,,,,,09.12.2009,12/09/2009,,,,
08.12.2009,"1.091,94","1.103,04","1.103,04","1.088,61",,,,,,,08.12.2009,12/08/2009,,,,
07.12.2009,"1.103,25","1.105,52","1.110,72","1.100,83",,,,,,,07.12.2009,12/07/2009,,,,
04.12.2009,"1.105,98","1.100,43","1.119,13","1.096,52",,,,,,,04.12.2009,12/04/2009,,,,
03.12.2009,"1.099,92","1.110,59","1.117,28","1.098,74",,,,,,,03.12.2009,12/03/2009,,,,
02.12.2009,"1.109,24","1.109,03","1.115,58","1.105,29",,,,,,,02.12.2009,12/02/2009,,,,
