Date,Open,High,Low,Close
31/12/2009,1115.10,1126.60,1127.64,1114.81
30/12/2009,1126.42,1125.53,1126.42,1121.94
29/12/2009,1126.20,1128.55,1130.38,1126.08
28/12/2009,1127.78,1127.53,1130.38,1123.51
24/12/2009,1126.48,1121.08,1126.48,1121.08
23/12/2009,1120.59,1118.84,1121.58,1116.00
22/12/2009,1118.02,1114.51,1120.27,1114.51
21/12/2009,1114.05,1105.31,1117.68,1105.31
18/12/2009,1102.47,1097.86,1103.74,1093.88
17/12/2009,1096.08,1106.36,1106.36,1095.88
16/12/2009,1109.18,1108.61,1116.21,1107.96
15/12/2009,1107.93,1114.11,1114.11,1105.35
14/12/2009,1114.11,1107.84,1114.76,1107.84
11/12/2009,1106.41,1103.96,1108.50,1101.34
10/12/2009,1102.35,1098.69,1106.25,1098.69
09/12/2009,1095.95,1091.07,1097.04,1085.89
08/12/2009,1091.94,1103.04,1103.04,1088.61
07/12/2009,1103.25,1105.52,1110.72,1100.83
04/12/2009,1105.98,1100.43,1119.13,1096.52
03/12/2009,1099.92,1110.59,1117.28,1098.74
02/12/2009,1109.24,1109.03,1115.58,1105.29
01/12/2009,1108.86,1098.89,1112.28,1098.89
30/11/2009,1095.63,1091.07,1097.24,1086.25
27/11/2009,1091.49,1105.47,1105.47,1083.74
25/11/2009,1110.63,1106.49,1111.18,1104.75
24/11/2009,1105.65,1105.83,1107.56,1097.63
23/11/2009,1106.24,1094.86,1112.38,1094.86
20/11/2009,1091.38,1094.66,1094.66,1086.81
19/11/2009,1094.90,1106.44,1106.44,1088.40
18/11/2009,1109.80,1109.44,1111.10,1102.70
17/11/2009,1110.32,1109.22,1110.52,1102.19
16/11/2009,1109.30,1094.13,1113.69,1094.13
13/11/2009,1093.48,1087.59,1097.79,1085.33
12/11/2009,1087.24,1098.31,1101.97,1084.90
11/11/2009,1098.51,1096.04,1105.37,1093.81
10/11/2009,1093.01,1091.86,1096.42,1087.40
09/11/2009,1093.08,1072.31,1093.19,1072.31
06/11/2009,1069.30,1064.95,1071.48,1059.32
05/11/2009,1066.63,1047.30,1066.65,1047.30
04/11/2009,1046.50,1047.14,1061.00,1045.15
03/11/2009,1045.41,1040.92,1046.36,1033.94
02/11/2009,1042.88,1036.18,1052.18,1029.38
30/10/2009,1036.19,1065.41,1065.41,1033.38
29/10/2009,1066.11,1043.69,1066.83,1043.69
28/10/2009,1042.63,1061.51,1063.26,1042.19
27/10/2009,1063.41,1067.54,1072.48,1060.62
26/10/2009,1066.95,1080.36,1091.75,1065.23
23/10/2009,1079.60,1095.62,1095.83,1075.49
22/10/2009,1092.91,1080.96,1095.21,1074.31
21/10/2009,1081.40,1090.36,1101.36,1080.77
20/10/2009,1091.06,1098.64,1098.64,1086.16
19/10/2009,1097.91,1088.22,1100.17,1086.48
16/10/2009,1087.68,1094.67,1094.67,1081.53
15/10/2009,1096.56,1090.36,1096.56,1086.41
14/10/2009,1092.02,1078.68,1093.17,1078.68
